Team,Image Link
WAS,https://i.ibb.co/K6rZgm4/was2016.png
UTA,https://i.imgur.com/H3ZIR44.png
TOR,https://i.ibb.co/mvkjqL1/tor2021.png
SAS,https://i.imgur.com/yXLRt2y.png
SAC,https://i.imgur.com/WgHr0BH.png
POR,https://i.imgur.com/IfjmjFJ.png
PHX,https://i.imgur.com/hyi60nj.png
PHI,https://i.ibb.co/R2g6nkB/phi2016.png
ORL,https://i.imgur.com/H7YpO5e.png
OKC,https://i.imgur.com/ifBY6ON.png
NYK,https://i.imgur.com/nvApVkz.png
NOP,https://i.imgur.com/NUWBVXh.png
MIN,https://i.imgur.com/tVyaRnG.png
MIL,https://i.imgur.com/tg53Wze.png
MIA,https://i.imgur.com/DIKI6hY.png
MEM,https://i.imgur.com/mRTBrVV.png
LAL,https://i.imgur.com/Xwr5PFQ.png
LAC,https://i.imgur.com/fm3b2SJ.png
IND,https://i.imgur.com/kb9F5EN.png
HOU,https://i.imgur.com/MQCKbK9.png
GSW,https://i.imgur.com/46Wu1vc.png
DET,https://i.imgur.com/XKpV0aX.png
DEN,https://i.imgur.com/xyFKqng.png
DAL,https://i.imgur.com/kK4kDaz.png
CLE,https://i.imgur.com/VXYRGJ5.png
CHI,https://i.imgur.com/T8ApQxR.png
CHA,https://i.ibb.co/1b4hp0F/cho.png
BOS,https://i.imgur.com/Jts3BXK.png
BKN,https://i.ibb.co/mXdMc4d/brk2013.png
ATL,https://i.imgur.com/bFOmyEh.png
